bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,
08MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC08MPA-FA20-SL08-G25,1093
10MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-FA20-SL08-G25,1094
12MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC12MPA-FA20-SL08-G25,1095
14MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC14MPA-FA20-SL08-G25,1096
16MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC16MPA-FA20-SL08-G25,1097
18MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC18MPA-FA20-SL08-G25,1098
20MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC20MPA-FA20-SL08-G25,1099
22MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC22MPA-FA20-SL08-G25,1100
25MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC25MPA-FA20-SL08-G25,1101
27MU08A06XXX,,,,3/17/2022 0:00,08401065,IDCGHO0320,08401065,3/17/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC27MPA-FA20-SL08-G25,1102
