bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02
10MI10A06BGR,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-FA15-SL10-G25
10MX12A06JSP,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-NORM-SL12-G25
12BX18A06RBC,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K125KG/CM2-NORM-SL18-G25-R1
14MX12A06XXX,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC14MPA-NORM-SL12-G25
15MI10A06BGR,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC15MPA-FA15-SL10-G25
17FI12A06XXX,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K175KG/CM2-FA15-SL12-G25
17PX12A06R1X,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K175KG/CM2-NORM-G25-R1
20MX12A06JSP,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC20MPA-NORM-SL12-G25
20MX12A06XXX,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC20MPA-NORM-SL12-G25
22FI12A06R1X,,,,10/30/2021 0:00,8401065,IDCGHO0320,8401065,10/30/2021 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K225KG/CM2-FA15-G25-R1
