bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,
27FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K275KG/CM2-FA20-SL16-G25,316
30FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA20-SL16-G25,317
32FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K325KG/CM2-FA20-SL16-G25,318
35FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA20-SL16-G25,319
37FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K375KG/CM2-FA20-SL16-G25,320
40FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K400KG/CM2-FA20-SL16-G25,321
42FU16A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K425KG/CM2-FA20-SL16-G25,322
10BU18A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K100KG/CM2-FA20-SL18-G25,323
12BU18A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K125KG/CM2-FA20-SL18-G25,324
15BU18A06XXX,,,,2/8/2022 0:00,08401065,IDCGHO0320,08401065,2/8/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K150KG/CM2-FA20-SL18-G25,325
